year,boundary,high_risk_max,high_risk,high_risk_min
1600,14.53,4.06,2.99,1.94
1601,15.08,4.13,3.04,1.97
1602,14.8,4.31,3.19,1.98
1603,15.03,4.27,3.12,1.97
1604,14.91,4.16,3.03,1.95
1605,14.96,4.13,3.09,2.08
1606,15.14,4.29,3.12,1.96
1607,16.35,4.4,3.25,2.09
1608,15.28,4.31,3.23,2.18
1609,16.35,4.41,3.27,2.08
1610,16.5,4.5,3.34,2.15
1611,15.58,4.2,3.13,2.03
1612,15.74,4.5,3.31,2.16
1613,16.68,4.49,3.38,2.18
1614,16,4.45,3.31,2.13
1615,16.51,4.4,3.18,2.1
1616,16.1,4.25,3.13,2.1
1617,16.45,4.42,3.29,2.15
1618,16.64,4.44,3.24,2.1
1619,16.82,4.45,3.25,2.12
1620,15.81,4.38,3.3,2.09
1621,16.38,4.38,3.27,2.1
1622,16.42,4.46,3.22,2.04
1623,16.79,4.67,3.44,2.26
1624,16.44,4.7,3.44,2.3
1625,16.54,4.49,3.34,2.19
1626,16.39,4.28,3.22,2.11
1627,16.85,4.61,3.33,2.18
1628,15.62,4.43,3.31,2.2
1629,17.48,4.92,3.6,2.27
1630,15.82,4.47,3.33,2.12
1631,16.69,4.47,3.2,2.09
1632,16.18,4.55,3.36,2.05
1633,16.84,4.45,3.29,2.14
1634,17.33,4.78,3.49,2.25
1635,16.42,4.46,3.33,2.18
1636,16.77,4.43,3.22,2.09
1637,16.34,4.13,3.05,1.97
1638,16.8,4.48,3.32,2.13
1639,16.58,4.5,3.32,2.1
1640,16.78,4.52,3.34,2.18
1641,16.66,4.56,3.45,2.19
1642,16.91,4.65,3.46,2.19
1643,17,4.4,3.24,2.11
1644,16.95,4.7,3.51,2.28
1645,16.8,4.58,3.37,2.17
1646,16.34,4.65,3.47,2.24
1647,17.24,4.65,3.39,2.18
1648,16.5,4.62,3.44,2.2
1649,17.36,4.81,3.42,2.16
1650,17.12,4.64,3.44,2.17
1651,17.34,4.77,3.63,2.29
1652,16.91,4.57,3.41,2.19
1653,17.11,4.83,3.56,2.28
1654,17.18,4.67,3.44,2.12
1655,16.38,4.71,3.53,2.31
1656,17.4,4.72,3.51,2.27
1657,17.45,4.91,3.67,2.34
1658,16.41,4.66,3.49,2.25
1659,17.66,4.87,3.57,2.29
1660,17.37,4.75,3.48,2.25
1661,16.56,4.79,3.55,2.26
1662,17.05,4.91,3.69,2.34
1663,17.32,4.72,3.46,2.24
1664,16.83,4.88,3.59,2.24
1665,16.69,4.64,3.42,2.21
1666,17.61,4.78,3.56,2.33
1667,17.2,4.83,3.52,2.29
1668,17.33,4.95,3.66,2.3
1669,17.16,4.66,3.45,2.22
1670,16.87,4.58,3.43,2.25
1671,17.52,4.75,3.47,2.22
1672,16.73,4.78,3.63,2.35
1673,17.37,4.75,3.59,2.37
1674,17.43,4.76,3.51,2.3
1675,16.78,4.75,3.53,2.27
1676,17.26,4.93,3.69,2.37
1677,17.12,4.7,3.46,2.28
1678,17.65,4.83,3.61,2.34
1679,17.06,4.89,3.58,2.23
1680,17.02,4.6,3.45,2.2
1681,18.27,5.11,3.81,2.38
1682,18.07,5.09,3.72,2.36
1683,17.65,4.57,3.4,2.19
1684,17.22,4.9,3.63,2.32
1685,18.25,4.91,3.63,2.34
1686,17.73,4.84,3.57,2.3
1687,18.16,5.1,3.71,2.33
1688,17.8,5.04,3.73,2.42
1689,17.73,4.83,3.51,2.22
1690,18.26,5.28,3.88,2.33
1691,18.59,5.28,3.94,2.56
1692,18.04,5.27,3.9,2.54
1693,18.43,5.08,3.75,2.3
1694,18.28,5.35,3.91,2.47
1695,17.56,4.79,3.58,2.36
1696,18.23,5.19,3.89,2.47
1697,18.11,5,3.73,2.42
1698,18.04,5.02,3.74,2.38
1699,17.84,4.97,3.65,2.41
1700,18.11,5.24,3.84,2.42
1701,18.03,5.01,3.75,2.39
1702,19.24,5.41,3.97,2.5
1703,18.71,5.11,3.74,2.41
1704,18.46,5.22,3.97,2.57
1705,17.95,5.31,3.94,2.48
1706,18.7,5.51,4.08,2.65
1707,18.71,5.35,4.05,2.6
1708,18.67,5.21,3.95,2.53
1709,19.27,5.53,4.07,2.53
1710,18.03,5.3,3.96,2.54
1711,18.75,5.31,4.01,2.54
1712,18.94,5.57,4.17,2.61
1713,18.81,5.28,3.95,2.49
1714,19.01,5.5,4.08,2.58
1715,19.39,5.56,4.11,2.63
1716,18.62,5.36,4.05,2.52
1717,19.17,5.66,4.12,2.64
1718,19.34,5.52,4.1,2.65
1719,18.93,5.61,4.27,2.71
1720,19.2,5.5,4.04,2.58
1721,19.61,5.58,4.07,2.59
1722,18.74,5.45,4.11,2.6
1723,18.92,5.33,3.96,2.55
1724,19.39,5.85,4.26,2.68
1725,18.89,5.53,4.03,2.56
1726,18.73,5.76,4.29,2.71
1727,19.72,5.83,4.27,2.75
1728,18.94,5.67,4.2,2.65
1729,19.78,5.77,4.29,2.75
1730,18.76,5.54,4.12,2.59
1731,19.41,6.08,4.51,2.81
1732,20.38,6.39,4.61,2.86
1733,19.37,5.97,4.4,2.74
1734,19.16,5.82,4.28,2.65
1735,20.09,6.37,4.65,2.8
1736,20.02,5.77,4.23,2.6
1737,20.27,6.23,4.59,2.83
1738,19.69,6.07,4.52,2.86
1739,19.88,6.29,4.54,2.85
1740,20.39,6.47,4.69,2.83
1741,20.18,6.2,4.47,2.83
1742,20.17,6.33,4.66,2.93
1743,20.14,6.21,4.69,2.9
1744,20.22,6.54,4.87,3.07
1745,20.61,6.57,4.88,3.05
1746,19.73,6.53,4.85,3.01
1747,21.11,6.9,5.05,3.04
1748,19.77,6.58,4.92,3.09
1749,20.51,6.5,4.69,2.98
1750,20.92,6.69,4.81,2.98
1751,20.41,6.44,4.8,2.91
1752,21.21,7.06,5.19,3.1
1753,20.47,6.71,5.08,3.19
1754,21.1,7,5.07,3.04
1755,20.27,6.71,4.99,3.12
1756,20.99,7.02,5.07,3.15
1757,20.98,7.06,5.24,3.2
1758,20.66,6.67,4.92,3.04
1759,21.27,6.86,4.92,3.01
1760,20.77,6.51,4.7,2.84
1761,20.29,6.49,4.78,3
1762,21.08,6.84,5.02,3.07
1763,21.26,7.14,5.35,3.3
1764,21.3,6.81,5.05,3.12
1765,21,7.06,5.35,3.35
1766,20.63,6.91,5.21,3.18
1767,21.33,7.01,5.17,3.25
1768,21.28,7.32,5.41,3.32
1769,21.6,7.18,5.29,3.22
1770,21.91,7.5,5.54,3.35
1771,21.77,7.13,5.21,3.1
1772,21.82,7.37,5.47,3.33
1773,21.2,7.08,5.29,3.19
1774,21.92,7.67,5.67,3.42
1775,20.98,6.99,5.28,3.24
1776,22.02,7.51,5.5,3.29
1777,21.82,7.69,5.65,3.44
1778,22.18,7.68,5.81,3.5
1779,21.49,7.55,5.81,3.59
1780,22.29,7.55,5.55,3.24
1781,22.27,7.69,5.65,3.42
1782,22.54,7.79,5.87,3.63
1783,22.29,7.76,5.79,3.61
1784,22.42,7.98,5.98,3.64
1785,22.65,8.01,5.89,3.57
1786,22.31,7.89,5.8,3.47
1787,22.65,7.87,5.74,3.45
1788,22.21,7.72,5.71,3.42
1789,22.28,7.66,5.81,3.56
1790,23.77,8.76,6.61,4.06
1791,23.06,8.2,6.2,3.86
1792,23.46,8.27,6.1,3.71
1793,23.57,8.58,6.4,3.91
1794,23.09,8.11,6.12,3.75
1795,23.84,8.67,6.5,4.03
1796,23.73,8.37,6.3,4.03
1797,23.83,8.34,6.19,3.85
1798,23.72,8.42,6.29,3.73
1799,24.59,8.95,6.81,4.3
1800,23.77,8.56,6.6,4.23
1801,24.59,9.11,6.8,4.19
1802,24.18,8.71,6.66,4.21
1803,24.47,8.97,6.75,4.26
1804,23.93,8.86,6.85,4.23
1805,24.37,8.78,6.83,4.51
1806,24.01,8.94,6.83,4.29
1807,24.06,9.22,7.01,4.27
1808,24.99,9.47,7.12,4.38
1809,24.15,8.76,6.67,4.17
1810,25.43,9.59,7.31,4.6
1811,25.09,9.45,7.29,4.63
1812,24.73,9.03,6.79,4.21
1813,24.87,8.94,6.86,4.34
1814,24.37,9.05,7.04,4.66
1815,24.83,9.3,7.08,4.46
1816,25.81,9.51,7.12,4.5
1817,25.48,9.39,7.05,4.34
1818,25.09,9.49,7.25,4.53
1819,24.89,9.29,7.21,4.74
1820,25.17,9.29,7.11,4.51
1821,25.99,9.7,7.45,4.88
1822,26.38,10.18,7.79,5.06
1823,25.56,10,7.59,4.88
1824,26.22,10.01,7.5,4.61
1825,26.11,10,7.67,4.84
1826,25.72,9.52,7.33,4.72
1827,27.03,10.64,8.12,5.33
1828,26.46,10.31,7.82,4.99
1829,25.75,10.22,7.84,5.03
1830,25.59,9.88,7.46,4.86
1831,26.52,10.35,7.86,4.91
1832,26.11,9.91,7.66,4.83
1833,26.37,10.83,8.25,5.2
1834,27.26,11.11,8.58,5.61
1835,26.64,10.92,8.32,5.31
1836,26.51,10.74,8.25,5.3
1837,27.27,11.2,8.57,5.69
1838,27.41,11.25,8.65,5.65
1839,27.45,11.19,8.53,5.45
1840,27.51,11.18,8.67,5.73
1841,26.99,11.32,8.83,5.84
1842,27.4,11.11,8.54,5.43
1843,27.91,11.39,8.83,5.95
1844,26.9,11.15,8.78,5.8
1845,27.89,11.72,9.08,5.88
1846,28.45,12.17,9.57,6.26
1847,26.96,11.46,8.94,5.82
1848,27.6,11.62,9.07,6.03
1849,27.94,12.35,9.71,6.44
1850,26.79,11.39,8.87,5.97
1851,28.04,11.98,9.43,6
1852,28.32,12.1,9.32,5.84
1853,28.72,12.23,9.6,6.46
1854,28.43,12.45,9.85,6.46
1855,28.82,12.36,9.77,6.33
1856,28.59,12.26,9.78,6.44
1857,29.17,12.92,10.27,6.62
1858,28.82,12.31,9.74,6.37
1859,29.4,12.86,10.15,6.59
1860,29.49,12.98,10.2,6.66
1861,29.2,12.8,10.25,6.75
1862,29.29,12.44,9.96,6.62
1863,28.83,12.8,10.14,6.54
1864,29.15,12.53,10.11,6.75
1865,29.24,12.42,9.87,6.51
1866,28.76,12.83,10.21,6.56
1867,30.01,12.83,10.28,6.75
1868,30.04,13.38,10.83,7.17
1869,29.66,12.98,10.57,7.01
1870,29.5,12.88,10.39,6.73
1871,30.87,13.35,10.82,7.36
1872,31.41,13.7,11.19,7.5
1873,32.08,14.25,11.6,7.85
1874,31.14,13.17,10.71,7.2
1875,32.26,14.15,11.51,7.84
1876,32.41,13.96,11.35,7.72
1877,32.63,14.35,11.72,8.19
1878,31.91,13.91,11.41,7.93
1879,32.91,14.3,11.46,8.19
1880,32.32,14.25,11.65,8.37
1881,33.18,14.48,11.85,8.37
1882,32.2,14.48,11.85,8.41
1883,34.41,15.84,12.94,9.12
1884,33.07,14.83,12.13,8.61
1885,33.97,15.01,12.19,8.58
1886,32.6,14.77,12.12,8.78
1887,34.4,15.53,12.75,9.08
1888,34.34,15.65,12.92,9.2
1889,34.7,15.45,12.75,9.07
1890,34.33,15.67,12.83,9.29
1891,35.67,16.23,13.21,9.54
1892,36.45,16.99,13.72,9.76
1893,36.02,17.01,13.95,10
1894,35.92,16.79,13.56,9.68
1895,35.62,16.26,13.27,9.51
1896,36.26,16.91,13.75,9.81
1897,36.53,17.45,14.31,10.35
1898,36.54,16.9,13.76,9.86
1899,37.39,17.75,14.4,10.33
1900,36.88,17.47,14.1,10.22
1901,37.07,16.81,13.69,10.07
1902,36.51,17.06,13.92,10.18
1903,38.06,18.07,14.64,10.75
1904,38.63,18.16,14.85,10.73
1905,38.83,18.46,14.97,10.54
1906,37.92,18.52,15.04,11.07
1907,39.12,18.9,15.28,11.07
1908,39.05,19.45,15.78,11.33
1909,38.41,19.14,15.64,11.41
1910,38.87,19.54,16.02,11.58
1911,39.03,18.74,15.21,10.76
1912,40.03,20.78,17.06,12.07
1913,40.22,20.32,16.5,11.68
1914,39.52,20.41,16.81,12.15
1915,40.89,20.94,17.27,12.54
1916,39.5,20.68,17.05,12.25
1917,39.8,20.73,16.88,12
1918,40.27,21.12,17.27,12.3
1919,40.02,21.03,17.38,12.65
1920,39.47,21.24,17.59,12.78
1921,40.78,21.55,17.83,13.11
1922,40.88,21.51,17.85,13.03
1923,40.95,21.83,18.21,13.31
1924,41.5,22.38,18.45,13.38
1925,40.73,22.22,18.5,13.2
1926,41.56,22.51,18.78,13.66
1927,41.79,22.81,18.97,13.9
1928,42.13,22.91,19.02,13.77
1929,42.26,22.34,18.54,13.5
1930,42.02,22.75,19.04,13.98
1931,43.6,24.02,20.11,14.54
1932,43.1,23.72,19.79,14.51
1933,43.12,24.15,20.18,14.73
1934,43.06,24.41,20.65,15.15
1935,44.4,25.19,21.17,15.5
1936,44.25,24.9,20.81,15.24
1937,43.99,25.15,21.31,15.53
1938,44.4,24.65,20.66,15.13
1939,44.36,25.27,21.25,15.53
1940,44.1,24.68,20.76,15.36
1941,44.71,25.15,21.27,15.64
1942,45.38,25.9,21.84,16.08
1943,45.55,26.22,22.25,16.44
1944,45.24,25.53,21.64,15.93
1945,45.32,25.99,21.88,15.84
1946,45.55,26.23,22.28,16.41
1947,45.8,27.27,23.27,17.01
1948,47.51,27.89,23.66,17.36
1949,46.01,26.51,22.54,16.92
1950,45.88,26.96,23.33,17.64
1951,46.64,28.18,24.35,18.62
1952,47.66,29.24,25.28,19.34
1953,47.43,28.52,24.58,18.74
1954,47.98,28.89,24.71,18.63
1955,48.13,29.65,25.58,19.61
1956,48.66,30.22,26.21,20.42
1957,48.65,29.85,25.98,20.23
1958,49.47,30.94,27.06,21.1
1959,50.48,31.68,27.44,21.25
1960,50.42,31.45,27.57,21.39
1961,49.37,30.04,26.16,20.39
1962,50.08,31.15,27.17,20.99
1963,49.87,30.72,26.91,21.16
1964,51.21,31.94,27.89,21.76
1965,50.87,31.11,27.03,20.9
1966,51.41,31.88,27.88,22.05
1967,51.15,31.81,27.78,21.77
1968,52.06,32.83,28.83,22.66
1969,52,32.21,28.08,21.98
1970,52.68,32.88,28.99,22.95
1971,52.85,32.79,28.64,22.41
1972,53.11,33.02,29.15,22.92
1973,52.5,32.89,28.83,22.8
1974,52.59,33.1,29.25,23.29
1975,53.02,33.31,29.62,23.65
1976,53.11,33.56,30.01,23.93
1977,53.25,33.81,30.02,24.11
1978,53.27,34.45,30.84,24.89
1979,53.84,34.7,31.06,25.16
1980,53.76,34.15,30.41,24.43
1981,53.37,34.44,31.02,25.46
1982,54.56,35.5,32.02,26.21
1983,54.55,35.28,31.64,25.84
1984,55,35.66,32.06,26.32
1985,54.9,35.89,32.47,26.86
1986,55.32,36.12,32.59,26.88
1987,55.79,36.04,32.48,26.79
1988,55.43,36.05,32.67,27.37
1989,55.88,36.5,33.19,27.81
1990,57.3,38.33,34.86,29.12
1991,56.11,36.74,33.44,27.9
1992,55.9,37.23,34.06,28.47
1993,56.48,37.86,34.61,28.99
1994,56.28,37.72,34.58,28.9
1995,56.48,37.98,34.96,29.44
1996,56.6,37.93,34.76,29.32
1997,56.21,37.87,35,29.67
1998,56.6,38.37,35.34,30.23
1999,57.36,38.01,35.18,30.05
2000,56.98,38.4,35.52,30.39
2001,57.61,38.74,35.8,30.57
2002,58.46,39.4,36.41,31.17
2003,58.42,39.3,36.28,31.07
2004,58.73,39.91,37.07,31.88
2005,59.07,40.14,37.29,32.02
2006,57.93,39.34,36.54,31.4
2007,59.35,40.37,37.55,32.21
2008,58.28,39.5,36.82,31.66
2009,58.88,40.45,37.6,32.44
2010,58.28,39.74,36.97,32.06
2011,59.06,40.43,37.74,32.7
2012,60.36,41.29,38.56,33.44
2013,60.1,40.85,38.21,33.2
2014,60.39,41.58,38.75,33.41
2015,60.74,41.28,38.44,33.25
2016,60.13,41.05,38.23,33.11
